"","Name","Longitude","Latitude"
"1","Flow Detector 8",-122.415446696579,37.7685707627056
"2","Flow Detector 1",-122.415810965661,37.7684953385439
"3","Flow Detector 9",-122.415548643412,37.768458184127
"4","Flow Detector 5",-122.415716291562,37.7686437719149
"5","Flow Detector 2",-122.415812594445,37.7685109140509
"6","Flow Detector 6",-122.415688450743,37.7686429496088
"7","Flow Detector 3",-122.415814512859,37.7685291388548
"8","Flow Detector 7",-122.415448016556,37.768593846498
"9","Flow Detector 10",-122.415565912633,37.7684559497465
